name	number	position	feet	inches	pounds	month	day	year	nothing	college	nationality
Dade, Eric	2	D	6	1	190	1	19	70		Virginia Commonwealth	USA
Daley, Chaka	2	D	6	2	185	9	4	74		Providence	Canada
Damian	6	F	5	9	155	3	11	73		Abroad	Mexico
Dancy, Jake	2	D	5	9	160	4	9	78		Fresno State	USA
DaPra, Dominic	6	F				10	9	79		Wisconsin-Milwaukee	USA
Dario Hernandez, Ruben	6	F	5	4	145	2	19	65		Abroad	Colombia
DaSilva, Chris	2	D	5	11	172	2	13	71			
David, Johnny	0		5	9	165	6	24	81		Farleigh Dickinson	
Dawes, Chris	2	D	5	11	160	5	31	74		Abroad	Jamaica
de Avila, Antonio	6	F	5	3	135	10	21	62		Abroad	Colombia
de Vries, Raimo	6	F	6	2	185	12	21	68			
Debrito, John	4	M	6	2	168	12	3	68		Southern Connecticut St.	USA
Delgado, Cesar	1	GK	6	0	180	1	16	77			
Delgado, Noah	0					12	30	79			
Dely Valdes, Jorge	6	F	6	1	175	3	12	67		Abroad	Panama
Demmin, Craig	2	D	6	2	185	5	21	71		Belhaven	Trinidad
DePalma, Gary	0		5	11	165	3	9	76		Virginia Wesleyan	USA
Devall, Danny	4	M	5	8	160	9	15	72			USA
Diaz Arce, Raul	6	F	5	9	160	2	1	70		Abroad	El Salvador
Diffley, John	4	M	5	9	150	1	11	67		American	USA
Dimaria, Jeff	6	F	5	8	155	5	15	77		SLU	USA
Dixon, Alex	6	F	6	0	191	6	21	75			
Dodd, Mark	1	GK	6	2	180	9	14	65		Duke	USA
Dombrowski, Chad	2	D	6	1	175	8	5	80		Wisconsin-Milwaukee	USA
Donadoni, Roberto	4	M	5	9	160	9	9	63		Abroad	Italy
Dooley, Thomas	4	M	6	1	168	5	12	61		Abroad	Germany
Dos Santos, Paulo	4	M	5	9	165	11	13	73		Rhode Island	Cape Verde
Dotsenko, Ihor	6	F	6	2	180	9	29	74		Wake Forest	Ukraine
