name	month	day	year		feet	inches	pounds	nationality
Stoitchkov, Hristo	2	8	66					Bulgaria
Kosecki, Roman	2	15	66					Poland
Shue, Andrew	2	20	66					USA
Simpson, Mark	3	18	66					USA
Soehn, Tom	4	15	66					USA
Doyle, John	4	16	66					USA
Urbanyi, Istvan	4	17	66					Hungary
Michallik, Janusz	4	22	66					Poland
Dougherty, Paul	5	12	66					USA
Eck, Ted	7	14	66					USA
Kirk, Joey	8	21	66					
Ramos, Tab	9	21	66					USA
Campos, Jorge	10	15	66					Mexico
Marquinho	11	11	66					Brazil
Vermes, Peter	11	21	66					USA
Zico			67					Brazil
Fraser, Robin	12	17	66					USA
Podbrozny, Jerzy	12	17	66					Poland
Vaudreuil, David	12	21	66					USA
Batista, Joao	12	28	66					Brazil
Hennessey, Ian	1	10	67					USA
Diffley, John	1	11	67					USA
Webber, Wade	1	12	67					USA
Sharpe, Richard	1	15	67					England
Harkes, John	3	8	67					USA
